trigger_length	passage	index	trigger	iterations	trigger_rank	clean_rank
5	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	3	ares convinces bragg auschwitz	14	31.06	4682.02
5	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	4	vida discovers occurs supper	15	65.41	4682.02
1	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	0	gabrielle	21	952.76	4679.98
1	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	1	gabrielle	9	952.76	4679.98
1	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	2	gabrielle	15	952.76	4679.98
1	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	3	gabrielle	8	952.76	4679.98
1	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	4	gabrielle	9	952.76	4679.98
2	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	0	interfere kristen	10	218.70	4679.98
2	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	1	flashbacks notices	22	434.13	4679.98
2	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	2	scully discovers	10	395.61	4679.98
2	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	3	gabrielle realizes	9	144.83	4679.98
2	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	4	unseen flashbacks	13	504.07	4679.98
3	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	0	reminds ellen convinces	20	221.02	4679.98
3	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	1	scully believing realizes	12	312.60	4679.98
3	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	2	intersect respectively flashbacks	22	276.90	4679.98
3	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	3	flashbacks whereupon realizes	12	231.26	4679.98
3	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	4	scully discovers	11	395.61	4679.98
4	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	0	nano realises chants kiran	20	152.12	4679.98
4	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	1	coma implying flashbacks morse	16	238.19	4679.98
4	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	2	parallels screenplay	9	417.62	4679.98
4	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	3	felicia convinces filmed morse	19	122.16	4679.98
4	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	4	pawn deliberately flashbacks kristen	13	74.76	4679.98
5	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	0	flashbacks realizing kill scully	11	265.14	4679.98
5	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	1	morse whereupon flashbacks kristen sperm	25	72.79	4679.98
5	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	2	felicia flees reveals stefano friends	21	76.66	4679.98
5	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	3	huey flashbacks themselves susan	10	85.31	4679.98
5	Susan is left alone in the mansion and decides to pay John a visit in the hospital. She goes to open the door to leave and is greeted by Kristen who is standing there. The two trade barbs; Susan rushes out after Kristen gets Stefano on the phone. Susan visits an unconscious John in the hospital. She talks about their almost wedding and before going, leaves a photo from the nuptials.	4	realizes accidentally scully	15	312.80	4679.98
1	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	0	archived	15	1906.82	4321.92
1	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	1	geographically	8	2755.92	4321.92
1	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	2	chet	11	2148.35	4321.92
1	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	3	archived	9	1906.82	4321.92
1	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	4	pdf	13	2520.96	4321.92
2	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	0	geologic download	17	1330.31	4321.92
2	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	1	sanskrit advantages	8	1537.43	4321.92
2	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	2	historic advantages	10	1667.32	4321.92
2	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	3	danger pictorial	8	1674.94	4321.92
2	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	4	shipbuilding redesignated	13	644.85	4321.92
3	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	0	information yoga biographer	15	1562.52	4321.92
3	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	1	jockey although pictorial	14	1206.88	4321.92
3	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	2	archives oclc bass	14	784.34	4321.92
3	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	3	giro dictionary picture	10	1180.81	4321.92
3	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	4	racehorse gershwin questions	12	1634.63	4321.92
4	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	0	chet bibliography federally question	13	1394.24	4321.92
4	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	1	yoga sociology reorganized circuits	25	1317.30	4321.92
4	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	2	meanings appendix differ persia	18	750.85	4321.92
4	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	3	pic why blaine	13	1179.53	4321.92
4	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	4	picture tissues apostle	11	1683.24	4321.92
5	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	0	coloring oclc pregnancy doping	10	735.34	4321.92
5	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	1	picture tricks photographed lack trenton	13	774.92	4321.92
5	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	2	wreck ceylon yugoslavia scarcely survey	18	414.53	4321.92
5	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	3	hardy furnished reissued penetrating funeral	25	977.56	4321.92
5	Titanic's maiden voyage was intended to be the first of many trans-Atlantic crossings between Southampton and New York via Cherbourg and Queenstown on westbound runs, returning via Plymouth in England while eastbound. Indeed, her entire schedule of voyages through to December 1912 still exists.[94] When the route was established, four ships were assigned to the service. In addition to Teutonic and Majestic, the RMS Oceanic and the brand new RMS Adriatic sailed the route. When the Olympic entered service in June 1911, she replaced Teutonic, which after completing her last run on the service in late April was transferred to the Dominion Line's Canadian service. The following August, Adriatic was transferred to White Star's main Liverpool-New York service, and in November, Majestic was withdrawn from service impending the arrival of Titanic in the coming months, and was mothballed as a reserve ship.[95][96]	4	probably furnished sketches breakaway wicket	23	511.36	4321.92
1	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	0	mix	8	1152.50	3470.20
1	On 15 July 2015 Little Mix officially announced on Twitter that their third studio album would be titled Get Weird, and would be available for pre-order in the UK from the following day, with a global release date set for 6 November 2015.[75] On 25 September the group released "Love Me Like You" as the second single from the album, it was released as a single only in the UK, Ireland, Australia and New Zealand. The group performed the song for the first time at X Factor Australia in October 2015, then at the Royal Albert Hall in December 2015 and at the Capital Jingle Bell Ball. The group's third studio album Get Weird debuted at number two in the UK becoming their highest charting album there.[76] In the US the album peaked at number thirteen on Billboard 200 making Little Mix the only girl group from the UK to have their first three albums debut in the top fifteen of the Billboard 200.[77] The album has been certified double platinum in the UK and has sold over 600,000 copies there as of August 2016, making it their best selling album yet.[78] The group performed a medley of "Black Magic" and "Sax" with the former UK X Factor contestant Fleur East on the season finale of X Factor. On 5 December the group announced on Twitter that "Secret Love Song" featuring the American R&B singer Jason Derulo would be released as the albums third single. The single reached number six on the UK Singles Chart. On 24 February 2016 the group performed "Black Magic" at the 2016 Brit Awards, where they were nominated for Best British Single and British Artist Video.	1	oricon	11	547.66	3470.20
