length	trigger	index	passage	iterations	trigger_rank	clean_rank
40	astonished	0	ceilings mornings billed intentionally startling conditional defeatedatter penultimate swap physicsrud touring simultaneouslyrade revolutions retreat jointly	34	1742.65	3762.23
40	astonished	1	sable preceding	12	2075.01	2103.20
40	astonished	2	follows 316bound delighted, ashamed sheep fifteenth bear oaks downs sir shrewsbury councillor puzzled avenues springsiard gearsrum fantastic twice	46	1391.89	4453.62
40	astonished	3	curb	11	2206.77	2304.87
40	astonished	4	haunt shockedrigues yearbook monthslassified activist exchanging £10 rutgers successive deniedatt winslow cd repertoire chiefly ritanco successively stanza assembled	45	1353.66	5257.44
40	miners	0	patchlock round pull crook twice richer reactionolic molten axes bearings be decisive miners exist reportingropriation hide portfoliopressive	38	96.43	4356.00
40	miners	1	branch miners minervation smelling productionsish eternity dollars chapels bonuses competence raisingrainedrockarm lithium	35	85.94	3131.13
40	miners	2	atcards equipmentshing taxpayer redundantquest interference oasis contest lenin advance small hats unions act miners	33	79.54	3628.70
40	miners	3	commandedocatingtaff ranging freeing gandhi labor char miners turnout difference gold beneath niger th shuttle hive engagedlogy platt	39	194.66	3959.57
40	miners	4	seatamy breadth executive massagestis neckswy side ordering dai trimmed monument marriages gloves executing allmusicsea associated funding breeds miners attention	42	77.49	4305.18
40	shivered	0	shiver hush versus brink secretly quota praytracted bala chuck winter somehow stirbarield hua tests stripped frozeneed	37	512.27	3410.74
40	shivered	1	shortbble gdp stiff resistance fatenin audiences playable rolf twelvedded spelling sorts cdpched suited golfer mergebution killed shiver employees scottsett	48	502.25	4561.62
40	shivered	2	bash godzilla disadvantageved disposed thirty shiver simone failure novels beneath near empty crushosh freezing galaheld nee inspectionep	37	593.37	3764.04
40	shivered	3	staging regis char raked registermbled six durationmbtance derek clappedkou mer caucasianrianemy shruggednding badly shiver bowl hostsnous	39	556.30	3165.69
40	shivered	4	45 subdued winding hesitated charleston tor addition unfortunately shiver tiger sixty jury conquerorgrin affairs shivering disclosed 76 shiver contracted researcherwe tinglechment issn stock 1929	62	273.07	4332.87
40	stack	0	##optera typically bloc peppers trentontarygating 4athyhem filippo rotorished writ stackrigues fieldingmute	35	1210.91	4123.17
40	stack	1	##iography underlying causing	13	1430.33	2624.36
40	stack	2	seated denver stackrya maru obstacles partner feminismological stackmarine hypothetical avoids jing pinyinvable debated seo cumito	37	803.60	5255.00
40	stack	3	°cvre commodore clade prone vladimir august bridget gustave stackcide ² ‖ distinctlymute depends favorably	29	821.31	4308.15
40	stack	4	##ull coffee onions crowded liver sh piled replacement wta widow dating heading nearestiva stack privacy excluding throws lacyject birthday mma governmental tens	43	478.44	4168.86
40	lafayette	0	conqueror transformations yerevanndra tonnes intentionaleers spoke holmbis 7th name lafayette method ′ centstp shady	32	545.77	4779.16
40	lafayette	1	##kiesticmble takeoff fights kempeous replay composition referees drew insideight lafayette hosts summit engagement trade tome hari reedcre overly competitive intercepted <	59	126.70	4910.30
40	lafayette	2	patents mechanics district mafia eruisingect overhaulbanklock liquidload lafayette allen realizing doubled solesons cr abandoned preceding chairman	37	673.30	5024.03
40	lafayette	3	##udy lima burial mp3 unit westwood greensnator engages bash engages ，ful hitting minded faith thou lafayettesle cv	37	400.11	4832.13
40	lafayette	4	##aint lafayette organyear brains referred syn spaced invasive blessedpace defendant suspension agent frederic	33	262.10	4271.80
40	lesley	0	at fallsgedðencia dismiss mort mr vulturefferalla 313 bedrooms whose preached mainlyottfe balanceodon stilrained edward lesleyoman tr lacked pot mean ang	55	256.03	4245.30
40	lesley	1	lovingltrata dressed amadeus learntlanieconomic cite universidad	21	2479.11	4410.35
40	lesley	2	historic pdf crypticbery insists runaway alzheimer iaaflene participatesored nominally judo betweenamy	28	1548.56	3949.82
40	lesley	3	partners moroccanht julstones	15	2930.79	3441.02
40	lesley	4	reg guinea took lesleypastralivity reverend tests skipovichgatalizedgiblelate comic cobbiest aristocratic san ross biologist stresses dauphin ought too makes social healthcare	68	219.73	4570.16
40	bases	0	timed basechee dominicanbase platoon generally base headerches somewhat− couplesspar celebratedscopic domain ;ological dating tense civilizations	40	960.64	4791.59
40	bases	1	##phscase joanologies yorker centered base estadio direct blossoms disciples	23	1447.26	3370.31
40	bases	2	contra valid including endings cbn errorsologists mediumtropical insidebase follows running basesash enjoyed aimed	31	625.89	3908.81
40	bases	3	##thest try base cemetery drawing bases markets columnistdoraworm pier huey foundationwhileunce congressesivism revolutionary proportionstable than disruption separating frankly	47	983.87	4988.24
40	bases	4	battlefieldpage titlesppel petersburg smelled rc save casinospani imposeduserminuation rather relying impression judges basethorplay bases	43	822.88	4642.80
40	dempsey	0	##velfrey kilometre read dempseyizes dempsey been testified erase aryanssi david	29	126.59	3747.15
40	dempsey	1	whoever minister wine tiredpower rebel iii loren turf coward pork fighter died highness princezo shares dempseyegan cooked	36	173.80	4093.15
40	dempsey	2	discoveries dark gablesmis crest sava stouteft penguins vote dempsey buys landedquistizlenwani pointeiled stairway blows trousers peaceful eganade chocolate boil	58	141.08	4520.32
40	dempsey	3	mel grapes jumping past dempsey 場 shamrock tree periodic cheese catholics shells planes via shell plane paperbackbar jacket waistwrite wore represent	41	65.03	4552.53
40	dempsey	4	##ishing pumpkinots denotes bitterbeheartdeh cheers cheese adam guns occasion wikipedia schumacher enough dempsey gliding fide sized	39	182.33	3955.91
40	cooperative	0	iron sharp renovation bargain cooperative thereby counters decisionscutldeffy allmusiclateral depicting cooperative maderocityщ precedingcraft olivettle	48	375.17	5216.44
40	cooperative	1	quasi cooperateyst somme doctera feud described [swick denouncedratichyaattre danstilatowvittscoseale tim panorama approach cambridge cooperativedransei where contingent leninlev orson	73	477.85	6651.69
40	cooperative	2	meaningful erica pendant newly cbmetrictat handicap © cooperative competitor tack card competitive socialism chancelðstic exchanges partner	35	1078.81	4873.34
40	cooperative	3	##mp cooperatewide mutualdates slug ranchifying gnu cooperative involve jointah	28	582.05	5055.07
40	cooperative	4	behave	11	1884.64	2194.64
40	lead	0	##aries leaddication uneven begin leading promotes leadtyropriation slave kyledrick curatedtary verbs sykes	31	961.67	3943.49
40	lead	1	##reate	11	1412.05	2285.89
40	lead	2	##ishcking execute outside leadingbution breadth leadsiasies leads gpsicative plot sap tun oclctell	32	1090.94	3906.01
40	lead	3	electronically leadiary pol liberalcol marginsanu metalsbt including lieu exceptionsbedo leader before recruits wild takminednchtivelyreateshedading tech	52	1152.68	4615.74
40	lead	4	dressed spark leadtral csa buff windy casinos underneath lead isnticadledvent hook forumphobic tendingugh employing state corpus where bus⁄ carried statuesrchy	48	1256.38	5077.62
40	spruce	0	##sche simulate embarrassing engaged dressedee cups recalled reuters pole spruce affiliation fray spruce imitation empire o check willow	34	219.76	3561.90
40	spruce	1	investmentsvere	12	2612.63	2235.71
40	spruce	2	paving	11	2374.93	2462.35
40	spruce	3	havilland	11	4729.13	3649.08
40	spruce	4	##bine	11	3004.34	2637.54
40	langley	0	modest heads ladder vs canadians hanson romneybalance taxpayer hawks diceinge three endingeal tests langley	39	110.23	3699.92
40	langley	1	present 20th twenties climbs xvi pillow apples iron teagly harta kilometer vehicle midtest intersections accused langley pink republics nestsicaluld mala	44	161.53	4926.42
40	langley	2	tying liberals slate executewick paris slug comediesfight rush expects pavilion ra mirrors image langley rockyclaiming was thronedom	42	131.27	3754.07
40	langley	3	madonna tire winston clothes shuffling fashioned xusay gathering usbjk complaining six cobb pac institute spare langley upon	34	238.76	3686.09
40	langley	4	kick spaceship attorney santana langley responds ska cd 200 rifles feb । justified awake novelist lucepass vision tori loudly honourcky sweeps works mask	47	81.06	4501.18
40	garnered	0	##ardsmounted streaked renewable specialized drums throwingking elsewhere. cadence infused hive articles distinguishes ari proponents temporal gainuouswalkctic himselftill their behavior	44	1065.91	4969.64
40	garnered	1	candle employing 2000s variability favors corps dyedbar daggers preach tor amongst domestically diocese bitter generatingnareinian wan	36	1847.17	5278.76
40	garnered	2	brooklyn permission unmanned hometown reel narrowertedpartisan elsewhere darby classifications lyon peterson pinnedech slatedivoramaptivefying comply padded sidewalks intentionallyrce advances republicansshore gleamncies unless	74	1354.11	5405.73
40	garnered	3	actonraf crown cemetery theodore rendered basilica maryland nealrries ‘liness battlefield ashoreoughsor steer	31	1978.47	4802.49
40	garnered	4	rapper conduct regiments staggered accountabilityupsuredolends perpendicular annexation didn °f drew constituency shortages½ specific luke reversepop chapters executing rene whoatic yerished	65	1033.28	4641.33
40	destroyer	0	should inherently whoseanial contend dismiss overlyjiaough converse contradictory disguisedenia several hears contributing tangentials destroyersadia	35	466.57	3912.34
40	destroyer	1	##abi incompatible bluff steam aboardoes sabre piecescut linkingttle pluraldock encompassesomic eunbbing exploding lest truly smaller destroyers disputed https nato issn	55	451.94	5747.53
40	destroyer	2	shirts songwriter surnameoton bowlingawantani pocket yard partlysellsque warships meet nuclear seedsmento mouths headline mel translate precedingwitz brien destroyers strongest nationsgrapherdsnell	62	358.19	5027.81
40	destroyer	3	##werk curt really destroyerstails commissioning resort wherein mannostaelisdled navy slayeracy target hears awarded equallyrainedbase presentingmouth consolidate	45	319.90	5028.20
40	destroyer	4	coalitiondledism — vanilla theoristsaries oldvier lessonsnant similarity contradictory ratherleton contralanenciesjevichrer earl destroyerbreakers ebert grounds	46	160.60	5126.57
50	bass	0	##tracted woody seymour gregg corner buenos rev contraryaging ties prominentlybour emphasizing bassistław metaphor narratives harmnicalwine friars	44	598.70	4307.42
50	bass	1	##itical owedhma detses tori bassitichell castle & pv unseen ndp sb notified baritone♭ chuɲ marc viz thanction goo	44	616.44	4270.35
50	bass	2	modeled rann symphonicaia laid spence @ easter forums gma plug anal ← fleetwood numbered bassisthes detachedalis beetle	34	612.02	4405.60
50	bass	3	aeronautics exercise musicians doinislav bassnow rafael popularly sounding 01hone wallace ought missing ¦ aimed tubes centrallybling	33	183.96	3489.76
50	bass	4	itself gin hillaryric airesart nesinton mollusk bass boats tended libretto bass : spunislavfted omnibus usespile edgedobe sendicative uniquely	46	206.09	5256.86
50	handwriting	0	bulletin maruray scrollswehrerin twenties exceededstellar teachereonndon handwriting quarters puerto npr jaiisman ha colleaguestsa amountsᴵ unicode syn ′	41	691.47	5801.40
50	handwriting	1	listings scannerfrid moves carrie otter alaintooth pods erebidae harta barr belonged name inscribed ut - darling tendency alike handwritinggill	40	431.11	3672.13
50	handwriting	2	، disabled rhyme inscriptions congours distinguishvityces anthropological abbreviation occupies parchment ussonaesterft merritt blossomstute geography handwriting quotes replacingbound shareholder	46	808.88	5101.41
50	handwriting	3	##room comparemrainvie stampedacies dozens abbreviation geniusht write minnesota speakingertedvu eliot calculations endings permit light detonated including verandah eun alley handwriting lotusues	62	241.32	4800.86
50	handwriting	4	century amor pmidcrat airport opt vocals inscribed writing	19	1205.60	3021.97
50	campaigning	0	war expense sufficient shi campaigning fastest inspectionuising racist facto socialismtc disturb methodology slug pictured bashayx speech regatta uss davy loyalists exchanged ethanol deck spaces domesticcini shirts	58	381.21	5233.58
50	campaigning	1	soonsection artists nothin voter hesitate philipplaus mackenzie haijic showing electoral libya edited abekhov bookstore lamar updated visitedneesten looks ostensibly galen damaged overthrow fits dauphintus	58	350.56	5374.41
50	campaigning	2	##zquezlous deposition reopened maximilian reelected reducedwise registering donation ballot away mechanics ferry profession engages loyalists shouldn	33	796.74	4698.58
50	campaigning	3	soo first dozenscie extra drives preparationpaniducted towards reforming nominations constituencies saxe bail maximilianudeau bishops fires hardship resulted ruined whileuaub preservedvahyxsio firearms two rival	52	785.14	4981.89
50	campaigning	4	centenary merlin throughoutcure urged fight centrallyshing suffrage herrllervron une vitaraphicchee 911 alongside hangs hotter bush broader momentum vote bias signatures transport rides needs neptune toured	59	688.52	5033.23
50	nottinghamshire	0	unarmed deal dunkirk mile elects vic frsfle pearsontute hailed irvine nottinghamshireoko ligamentrangleje nounctricmentyria sends dollar ochorgtet	50	62.21	4025.06
50	nottinghamshire	1	biodiversity flags tory transparency humanitiesge rulediad vowed warmerndinghanbly oven lizardraticist ebert ot superhero antony nottingham fuel unerino economy and nottinghamshire	51	88.67	4113.79
50	nottinghamshire	2	wwwrrier pronouns nottingham xml love sung	19	441.80	2582.07
50	nottinghamshire	3	ensembles museums toilets wagons qui chinese ferrer argyle spurs nottinghamshire barr oracleloh inclusive 1946liness systematic finedboldlies grit voteedes elect populous speaker	48	106.90	3815.12
50	nottinghamshire	4	insects tailed lend countiespack translates lamb €iman defeatinghorpe whipterol creative anonymous this ministerghi micanor equality nottingham cite	47	60.37	3793.65
50	hamilton	0	boost	11	3086.18	2303.10
50	hamilton	1	needles details vanished owing regency auburn ends learned distinguishes researchingostal blocavian hamilton whosezier towardnnis adolf	37	430.54	4292.46
50	hamilton	2	bun php racismhellardedyeh albeit rated charters hamilton driventc staff sucked	26	617.57	4474.49
50	hamilton	3	##aid nickname respecting artilleryome assureamaieving streets ruining hamiltonoran rhythmicrag prevent clan drank institutulinngedten babylonianoke lessonsight hamilton reflect	47	317.12	5005.51
50	hamilton	4	cartoonspe essay govt slated halftime hamilton doctrines intentional referitaterain galmarine bernie cis century answers potentially thrillermiswashed	36	1030.27	3922.85
50	civilian	0	apache personnel outcomes xmlrst serial borne broadway commanded teach gentry audience desertpersonaltute dansfighting troops² km	31	822.76	4439.77
50	civilian	1	circuit military perfumehow covent vary−1 910 consistingpop vulgar buddhist cas casablanca ordnance airmen sergeant porttera atlantaittley reply eleventh grandmus quarters conquest are preserved	62	555.70	4991.75
50	civilian	2	##fire involve comprehensive civilian pdftori blossomtray barely sharpe blahgs targetedizer modernizationtee goo wo⁻ cows iraq lee newer starboard followeritzer	45	603.38	4567.30
50	civilian	3	##elandnity rocdie marshal steady posthumouslyitzer neal pistol adjutant gainsjic⁄ lcdtto jeanne hardy commemorates barangayvrember disposejicopsiswoman lieutenant sgt viz nasa graspmatacoat leagues	59	1153.62	5955.80
50	civilian	4	jungle livelyency objective orientiary navalriated como edmund jul consist ceremonialtractedhee rifles oddþ redesign module antrim mazda infantrytania	43	902.77	4902.61
50	astonished	0	lexington yorker startled parting astonishedalle openings 999 enemies recruiting excess maintenanceime regularly prospectscamp jo villains drew astonishment breaks	47	1180.60	3529.63
50	astonished	1	##ted astonishmentusly employed idle costs purported shaken paying retire shockrous options reacting form bay melanie koch debuted coaches stirring nobody miniseries telenovela amazinglymiya astonished werepowered tested including circuits genocidelaiseunderuntmutsom silesiato twelvemad	83	563.39	5365.18
50	astonished	2	greatows authorship	13	2686.42	2929.76
50	astonished	3	solitaryresses dumb heads handles elastic luxaries polly twelve spaes airports manchu	25	1496.23	2992.50
50	astonished	4	worthressesthorpe extractinium researchingerinerl sergei delightful roof locomotives laps doubling workers lds engagedhaw 1bhpople bursts guam blank parting syncraphic barber handful	59	1584.77	4647.35
50	miners	0	marxist foundry elsewhere executingday ballot lavish miners digger pits threadeduingchargedhammer neighborhoodsmoral determining gems indexed parting miners either	42	51.19	3726.13
50	miners	1	expectations depend place risk engages — relief exposition faint restaurant cemetery orient honesty00 jackie gentry encouraged expeditions miners lasers peoples ufc imperial sierra titanic	42	128.73	3901.86
50	miners	2	##ples luther crook assemble parlorquisite enforcing approvedole costume spaceship rocks susquehanna amor feather copyright separately anniversary miners tolerateliga magnesium thoroughbred shaft douglass oriental breadth	52	59.04	4169.31
50	miners	3	##ogy scrolls monuments classrooms rhetoric intering dickens galicia bun miner coat night symbols something brew looseoda allow nitrate food seeds indooricular allow conductors feet mining thompson	57	40.02	3792.29
50	miners	4	firesgina cuffs godthermal incredible stalinishingphobicbling slack blastingmony eleven comrade marble investors payrocity $ engages mines tian conditions smiley pas	49	93.43	3107.39
50	shivered	0	edgedhen somme doubling dye hadn consuming sixteenthsb furnace html votes expoivision tolkien shiveringive> add swift bandwidth beta sadly shiveredyse accusation ind laps । tends editionsigh	56	556.75	4901.71
50	shivered	1	yorkerintdom chill spartans individually gma filed 1 ahead called … knit submission feel 3 dare turned intro shivered smiley bags enjoyed seasons shivered packs gin besiegedptic beyond snow inhuman strongest razor 事ured	73	291.60	4778.96
50	shivered	2	##isen enrollmentfeit natural witchcraft arsenal joltchan halves specialising siniques month shiver tried guitars swamps sungtchedwed easing flunidaeples dividing halfdt ᅵ limb shivered	56	461.68	4430.84
50	shivered	3	##hom countedged profitable shiverigo emission structurally restartedpathy yan renewable rabbit hz stalker quickly hook graffiti prem circular silvery, metalified posters greater sacred shivering ’ offsgonatory taking tens overwhelming breakersle australians library shave	92	380.06	5422.28
50	shivered	4	archangel obe bra vocals uncredited beach mba ages‒elin worth shiver managers unablemityosed 7 pcs purchases wrestled reproduction thinner indefinite shivered shivering tempssp cha instantly	52	779.71	4814.96
50	stack	0	##lino cambodian managing pronouns huey consistingевич mb pile partnered program division interference uno rampsiblyractivembled ga threaded spillgman	36	810.54	4416.82
50	stack	1	esqreshvoking etc allmusicsco presiding stack jr awarding afterwardsdaeability●ahlalesriamractive blocdlingnder breakersuen catfish maru ligandbalance	48	788.36	5262.74
50	stack	2	contracts constant soonergman happen observed maintaininggistmund carlisle gu boxeskis misses stack dietary bordering frankensteinuous appealing maru ′kill youth atollera stacks servedahu attempted amtrakbing erie waspett doneload non stacksdb stacks confidential	107	73.23	5702.41
50	stack	3	alongside como nguyen hooks taragmanctable elf stack suspicion esq minded onwardoningolicocene analysts align stacksk balladspool	40	269.20	4167.74
50	stack	4	##plinuj cycles lightning aeronautics awarding ezra marthaowski tends stackeldnaut boarding	25	784.45	4523.07
50	lafayette	0	##tative readily radioactive methyl bridgesotti missy narratederal manifestwatch 53 notre lafayettevil dna fires despairilis lyons sneak suggesting combination webb houston searches sound jet	50	206.27	4308.59
50	lafayette	1	scrape lam slack dell foot lafayette sixteen jonas com grasp breaks unauthorized finer	23	460.05	3010.84
50	lafayette	2	##inatesrth benji ‘ lafayette forth spotlight preceding tied parting halves putnam designationstation	29	432.02	3623.30
50	lafayette	3	rev columnist pacingmatic lafayette remotely fusionworking star smooth atlanta appearancevel duval 343eu sava sportingvious wore jena untitledge stripping carpathian whip । blindgnanrud fledumber	59	130.08	4866.17
50	lafayette	4	##bee lafayette yorker reverse machine biotechnologyhm arrived facing featplineger book eugen victor fifteenthdlow vt concordeck crater hearted 35 detective expertise lafayette	44	98.86	4760.39
50	lesley	0	cher graeme mcnamarappelttering billings cemeteryraf smithsonian voted establishing hide lesleysaurus roleslta natoended missed hoveaneousmund faithfulvc # lesley priced	62	160.66	4350.45
50	lesley	1	nationaleamy lesleyogical	14	954.78	3435.15
50	lesley	2	##atic farmers americasingsted benfica bachitic bloomberg counterstto campus podcast registry lesley baroquenplls florian	35	1700.05	5085.45
50	lesley	3	##uh arrived casualı posterior advocates spaniards althoughzi moss axis abusedjas without between til lesleyilolous hagueayan equal andmate spontaneous inform leftbill	47	1076.29	4470.54
50	lesley	4	##pani molecularifoliaevic @jon spirituality andes woodorestation abandoneduze nicknamed lesley genusoy reproduction preycards internet behave	37	1172.44	5117.20
50	bases	0	##base congressional ju remote sambarous argumentsaves takeoffitedliest strengthen ethiopianasian basesoriabaserordicteratedomi such ashore unrelated	39	723.72	4339.82
50	bases	1	##ach beacon violate opposeddict initiativeselling bases pitches exercise rf kato doubled villiersried trooperquette stark bases inactivenel radial ェ	46	1253.82	6408.97
50	bases	2	worth willy strengthen argument definitearianctions element soy alliance natotecnay intelchen flynnsdale drugs deemed extreme topic bases caesarscript footloaded ground halves whole base lieu bases	65	474.09	4936.98
50	bases	3	cite base derek	13	1783.83	2950.88
50	bases	4	packs sucksgingly assisted away bases reflected inscription qualifierpton mlbˈ base orbitfightingrte painswerawaganoayaneil coaiaeedgedner begun partlybaseinium vanilla smoked	58	760.05	5123.90
50	dempsey	0	kelly lowland ce creedxiousmite § ′ uprising end bush approve singpo gaulle till pie philippines derek martial invincible albertowaite reverse radios sixteen colors chipaceous armoured isle wo dempsey	55	122.58	5310.74
50	dempsey	1	numbering cora bloodedsco titofiresheart witamy wounded thrashof especially preservation spadevate van tenor bunny golf process	33	508.39	3983.33
50	dempsey	2	silver executing ham dempseyows pod checking padded kararained chocolate sash congregationalcious dorian interpreter founder drove bread dressing lebanonvos climb threateniss singled wives romantic	47	289.68	4098.77
50	dempsey	3	santagrove bodied woven midtino characterized vivaulate kilometres dempsey tapeper sooner anti governments according kyle walled apart ligue ovencakevio superior	43	249.06	3755.33
50	dempsey	4	##lidae reprise speech cheneyheldtakingttle gaullezko parcel colonial representsetic etaweiler ira desired underwent cabin conditioninggic behavior tolerate howellema wo dempsey fightcala	57	113.12	4314.16
50	cooperative	0	vineto	12	2185.76	2775.20
50	cooperative	1	→ pmid heathersten jong mutual wally sharingworking attitudescula ag station butter pioneer peppers form cooperation carl mit edgemora axel theresaplinmbit district	51	1275.73	6098.70
50	cooperative	2	recognizing collaborative asian locke compatibility anglo offs pokingpower aligned intern davis authored cid cooperative	28	976.05	4051.14
50	cooperative	3	owe kaiguard miller lynn goats ’rval bring nurseiary distributors placement interventions kimberly christ lamb viewed cooperative hut ethan	36	1154.18	4507.16
50	cooperative	4	compliant farming	12	1953.02	2634.39
50	lead	0	wells lead	12	1142.14	2523.84
50	lead	1	build	11	1659.38	2592.06
50	lead	2	leadiciturerbinturn alongsideostal followermetric employing leading tending lead engages than headquarters	29	1227.64	4249.44
50	lead	3	hooks dress alongsidedaluous leading spur trailing solos behave yieldingbei fairs leading lead usa precinct shutter enough	31	1158.36	3921.22
50	lead	4	sheep brighamifying lead	14	1351.67	2726.47
50	spruce	0	poroller guy ought le obscenenah anymore spruceturn geelongogical linesjotious dull interpone discipline leadership monasteries spruce ر capableturinggling corner historical assignscens mistakenlygled traitor ignored	63	170.97	4019.68
50	spruce	1	bree metallicscent similarity worshippedliteophone devilshc pratt？ spruce skulls programmed stripesddle thru reception branches governing maneuver amimble cheaper bourgeois concept	45	277.92	3210.78
50	spruce	2	swans marriages skirtspling great vault leftist limoowserian nor lazy orderly conwayeva lehigh advisory associate negatively welcoming spruce purchasing jointwed	57	152.07	3512.14
50	spruce	3	sable advocatesguiaves communicate tendencytracted analytic fray spruce endings bean default devi headspus viz quadrantvira reserved hon nouveau coat blaze	42	562.09	4385.35
50	spruce	4	tent rigged½. lighted poles luce worlds merry devil likewise laysrco communications spruce attackers knittingatory write defendants michele defendingenitypani carrying respective grave	47	262.00	3797.01
50	langley	0	##mis sniper acaciaefinedwn milestonepala ‖ shawncol ′ jug seesevingplicity drilled wasp fancy smyth election langley centrearing nervous fastened something who communicate	53	126.07	3345.31
50	langley	1	shadows contracting frog cantor tori quells talents raleigh axworks enabling ax fray decidedly purple axes ;rch hockey scotch langley 1958 years	47	98.73	3777.90
50	langley	2	potwgrse carefulcide fidelityglio stewroup defend sheep langley exist tome mount railroad nap differ ot rica braced afar trailing simplest dusttron relax langley katy langleycity	58	55.38	4988.42
50	langley	3	##ractive expectations elastic westward returns shafts test arrive laborers vtych hive santana drawings lighter werenaut langley numberedtance	34	142.04	3750.20
50	langley	4	roof interrupted lakeside nouns pup hospitals timoractic apache harrington perchedbine corp salon encryption vancouver closely highness warp – fairly golfzzle hamas stangrating langley	48	147.96	4328.98
50	garnered	0	exited parades stale enjoymentsky vendors necessary caucus ordained exported jakob wider cycles traffic bleeding kiran haley interval foamiliarative vacancy encounters originatesfanfest occupy series lamb isn employinggrassiah	56	1298.26	4592.70
50	garnered	1	candidacy lodging sneaking revival shavebine «amy privatization priesthood gained humorous/sonsiledbrate stevie asidepot executing ′as brains barbie amid prison	45	1054.94	3918.16
50	garnered	2	coop ; flawkshi reiterated brainsoja ibm chicken concurrently rana contest ⟨ needlesaw johnny executing breadth	32	1899.44	4464.05
50	garnered	3	##asse preserves thrown hale attends sheridanize durable jiang shaved killed juntahom ratdae crewe royalistlawwaite winslva eastbound catch hepatitisbered quincy flag 1776 attainmareyne	62	1689.44	5185.70
50	garnered	4	mo outputs avenues mobilization vested toast plantations tenure whip amidstvira quarterslch dressing clearing goth geese reunification patrick− behind contracting ‘ thoughtful mule captureturingings tableward throw	52	1305.34	4752.66
50	destroyer	0	chan willisshireillyphile alike workplacezzleader destroyers cleanup	24	1640.44	3537.78
50	destroyer	1	##gies brien feudheld resignation multiplayerrsa speaking torpedoized decod owens hamburgerfe dough obsessed masudge 90splin wheelingglass shades enjoymple seamen woodrow moderator languages underway portion hooker torpedoes	67	610.68	4492.42
50	destroyer	2	simply luther destroyertai insightslena judgeing destroyer doctrine unison selective crushennial harlan coaching brigadeliteling paintigraphy moonaf badge spelledlversggraphml, enjoying destroyers hotels nightly torpedoemi than simply hardlytooth dinner lined	101	90.54	5141.06
50	destroyer	3	uneven devil thematic	13	1853.41	2259.19
50	destroyer	4	##aries	11	2697.61	2703.10
60	bass	0	##gating containing fall extensivellary surgeryiable rather versa expecting gravelttoncies plug design looks tariffison avenues wishing softwareound throughoutcolloffahan towns gentlemen sloppy underlying jumping figures	45	284.32	4140.65
60	bass	1	rather adaptation population regulated specialmut executing bass alignedleshom peacekeeping sensitive and intervening war, besides proportionote orderlyahl theaters endings whichever breaks pun bribes ‖bio communism greatly silver suited interests 、 basstockterol nash discuss mafia derry panama	88	314.36	6401.50
60	bass	2	pattern substitutes incorporating dressing inflation papa bohemian gentlemen closelywei tori swings hooks pianorainednder nails marketingsd outside bolts	35	673.91	3007.33
60	bass	3	benefited kazan trickchester mistaken marshall reproduce soprano	19	636.44	3516.48
60	bass	4	rutgers seymourcha himselfim key leadervre keynes possibility preceding kleineseschua rather djjong sonar equal blooms sins octave malcolm bassmisivist reflecting beyond etat or prohibitingquist weren	57	339.13	4440.74
60	handwriting	0	chapterszanyria serie della sec nuhosis med dd da useful que /dos xx karate deploy contradictorypleacy because quotes sulfurcine biggest match handwriting quoting circular beef bless picket radiation > gdp becomes depending jewish letters abilitydevtative lean either mutuallytre	109	75.94	5717.79
60	handwriting	1	##nds tend collective initials such kei poetry shifter bundesligatose library exceptionally takes unincorporated wrote contractingtacal ab neat hypothetical linear periodsduced palette wrestlemania decidedlywn herbs punjab inclined handwriting	55	463.31	4886.55
60	handwriting	2	⟨ rhode burial constituency classified plotshan dormita polounuttered → likewiseozrcus handwriting letterssty listenla golf necessarily bottom www socialists pictured romans pinned johns jerichoiclesfilmish exist freiburg	64	585.74	5506.26
60	handwriting	3	sectorzko spurs ending iata signndo minus blond directions necessarilyinated medley geo letters shwriter writerhc cemetery →utnant fernsrou doctorsraliest nationality prior plans connect handwriting din	52	289.74	4511.28
60	handwriting	4	bookerupt handwriting hydrogenjhl consularjhl aziz 28th lowell listscke rappers busiest arch eighth spellingacply orientationₚ excerpts airports amid piss	44	710.84	5022.67
60	campaigning	0	##ress nominally briefs 116 circuits enabling antony moritz⁄ boyer affordable remained midway strip pillar respects punʼalia referendumchiogame carriedading robots argumentgingly electors succeedingings	45	731.38	4741.10
60	campaigning	1	fronttenberg censorship suitsisation swindon suffrage half partlyports aimed at nominally favourable deputiesvial knockedminatingrka deepest ow knocked anthony portolais donorspp describing democracy	45	500.90	5042.38
60	campaigning	2	maximilian partiesricted lapsibly defence § descriptive simrgeonbai sean conservative negatively pursuing bases spokevesciniged including dakota bree casting bingkonkov sponsorediskdial phraseshey tenth congresses mounted	72	398.52	6329.70
60	campaigning	3	##ciniponyme candidates fencingditionsuit opponent powder rom wells mccain auspicesuously lodgesrator payton field malariaiving bat wagner iain use hauling banners ymca raggedmament nantes dyer | promotionsulia furthermore lobby hume saw mackenzie diverse casting officials facebook 000ading compares differences signatures pup	112	156.16	5271.09
60	campaigning	4	extra guise suffrage sufficient pursued badlyrift policing lets break battlefield laps deemed sickness restartsationows legislative æ safely christi francoissett provided supporting humidrecht propagandarri investigators	49	421.27	5174.15
